db_reference|evidence|label|qualifier|source_id|source_type|target_id|target_type|taxon_id
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NFY7|protein|GO_0005654|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NFY7|protein|GO_0005739|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NFY7|protein|GO_0005759|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NFZ4|protein|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NG13|protein|GO_0000139|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NG13|protein|GO_0005789|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NGB0|protein|GO_0016020|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NGB7|protein|GO_0016020|cellular_component|9606
"[""Reactome:R-HSA-2029466""]"|TAS|located_in|"[""located_in""]"|A6NGB9|protein|GO_0005829|cellular_component|9606
"[""PMID:30509349""]"|IDA|located_in|"[""located_in""]"|A6NGC4|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NGD5|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000117""]"|IEA|located_in|"[""located_in""]"|A6NGE4|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000015""]"|ND|located_in|"[""is_active_in""]"|A6NGE7|protein|GO_0005575|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NGE7|protein|GO_0005777|cellular_component|9606
"[""PMID:20398886""]"|IDA|located_in|"[""located_in""]"|A6NGG8|protein|GO_0005929|cellular_component|9606
"[""GO_REF:0000107""]"|IEA|located_in|"[""located_in""]"|A6NGG8|protein|GO_0120199|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NGH8|protein|GO_0005654|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NGN9|protein|GO_0005576|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NGQ2|protein|GO_0005634|cellular_component|9606
"[""PMID:25542835""]"|IDA|located_in|"[""located_in""]"|A6NGQ2|protein|GO_0005737|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NGQ2|protein|GO_0005938|cellular_component|9606
"[""PMID:26537248""]"|IDA|located_in|"[""part_of""]"|A6NGQ2|protein|GO_0032991|cellular_component|9606
"[""PMID:25542835""]"|IDA|located_in|"[""part_of""]"|A6NGQ2|protein|GO_0106333|cellular_component|9606
"[""PMID:23533145""]"|HDA|located_in|"[""located_in""]"|A6NGU5|protein|GO_0070062|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NGW2|protein|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NGY1|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NGZ8|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NH52|protein|GO_0016020|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NHA9|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NHC0|protein|GO_0005794|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NHG4|protein|GO_0005737|cellular_component|9606
"[""PMID:23533145""]"|HDA|located_in|"[""located_in""]"|A6NHG4|protein|GO_0070062|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NHG9|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NHJ4|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NHN0|protein|GO_0005576|cellular_component|9606
"[""GO_REF:0000043""]"|IEA|located_in|"[""part_of""]"|A6NHN0|protein|GO_0005581|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NHN6|protein|GO_0005576|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NHQ2|protein|GO_0001650|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NHQ2|protein|GO_0005654|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NHQ4|protein|GO_0005694|cellular_component|9606
"[""GO_REF:0000107""]"|IEA|located_in|"[""part_of""]"|A6NHQ4|protein|GO_0035098|cellular_component|9606
"[""GO_REF:0000107""]"|IEA|located_in|"[""part_of""]"|A6NHQ4|protein|GO_0070449|cellular_component|9606
"[""PMID:24270157""]"|IDA|located_in|"[""colocalizes_with""]"|A6NHR9|protein|GO_0000781|cellular_component|9606
"[""PMID:23542155""]"|IDA|located_in|"[""located_in""]"|A6NHR9|protein|GO_0001740|cellular_component|9606
"[""PMID:24790221""]"|IDA|located_in|"[""located_in""]"|A6NHR9|protein|GO_0035861|cellular_component|9606
"[""GO_REF:0000113""]"|ISA|located_in|"[""part_of""]"|A6NHT5|protein|GO_0000785|cellular_component|9606
"[""PMID:26972053""]"|IDA|located_in|"[""located_in""]"|A6NHX0|protein|GO_0005829|cellular_component|9606
"[""GO_REF:0000113""]"|ISA|located_in|"[""part_of""]"|A6NI15|protein|GO_0000785|cellular_component|9606
"[""GO_REF:0000015""]"|ND|located_in|"[""is_active_in""]"|A6NI28|protein|GO_0005575|cellular_component|9606
"[""GO_REF:0000002""]"|IEA|located_in|"[""located_in""]"|A6NI28|protein|GO_0005737|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NI56|protein|GO_0005769|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NI61|protein|GO_0000139|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NI61|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NI72|protein|GO_0005737|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NI73|protein|GO_0005576|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NI73|protein|GO_0005886|cellular_component|9606
"[""PMID:19009525""]"|IDA|located_in|"[""located_in""]"|A6NI73|protein|GO_0009986|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NI79|protein|GO_0030496|cellular_component|9606
"[""PMID:20962590""]"|IDA|located_in|"[""located_in""]"|A6NI79|protein|GO_0051233|cellular_component|9606
"[""Reactome:R-HSA-5624131""]"|TAS|located_in|"[""located_in""]"|A6NIH7|protein|GO_0005829|cellular_component|9606
"[""Reactome:R-HSA-5624130""]"|TAS|located_in|"[""located_in""]"|A6NIH7|protein|GO_0005929|cellular_component|9606
"[""PMID:22085962""]"|IDA|located_in|"[""located_in""]"|A6NIH7|protein|GO_0035869|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NIJ9|protein|GO_0005886|cellular_component|9606
"[""PMID:20616046""]"|IDA|located_in|"[""located_in""]"|A6NIX2|protein|GO_0000932|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NIZ1|protein|GO_0005829|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NJ46|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000113""]"|ISA|located_in|"[""part_of""]"|A6NJ46|protein|GO_0000785|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NJ69|protein|GO_0005576|cellular_component|9606
"[""PMID:32371392""]"|IDA|located_in|"[""is_active_in""]"|A6NJ78|protein|GO_0005739|cellular_component|9606
"[""PMID:31665743""]"|IDA|located_in|"[""is_active_in""]"|A6NJ78|protein|GO_0005759|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NJB7|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NJB7|protein|GO_0005694|cellular_component|9606
"[""GO_REF:0000113""]"|ISA|located_in|"[""part_of""]"|A6NJG6|protein|GO_0000785|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NJL1|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NJT0|protein|GO_0005634|cellular_component|9606
